id,username,created_at,lng,lat,text
1517584885564645377,pizza_the_slut,Fri Apr 22 19:23:26 +0000 2022,-122.3306025,47.614817,@cyndeecexxx I'm going Sunday (I hope) https://t.co/0NjVID73hZ
1517584951897600000,jessliotta,Fri Apr 22 19:23:42 +0000 2022,-122.5889745,45.630589,Persuaded a certain nerd to join me in the woods today https://t.co/fAN5dif9fj
1517584955756269568,camcavers,Fri Apr 22 19:23:43 +0000 2022,-123.123581,49.257639,@Nevin_Thompson @Burgundavia @BillTieleman Same folks who accuse anyone saying “just build more housing” of being a shill for developers
1517584959740923905,tmj_sea_constru,Fri Apr 22 19:23:44 +0000 2022,-122.3320708,47.6062095,"Don't be shy. Score a job like ""Electrical Estimator"" at McKinstry by asking for referrals. It's a great way to get… https://t.co/wfn2LDec6c"
1517584965977837568,devilstumor,Fri Apr 22 19:23:45 +0000 2022,-122.3306025,47.614817,@dokonjofinger Ok nvm guess I’m living under a rock
1517584968012029952,thebrenthayden,Fri Apr 22 19:23:46 +0000 2022,-122.917508,49.2067515,@PizzeriaLudica I approve of this idea!🤘🤘 https://t.co/u4tbMLxTd5
1517584982893424640,frankenhole,Fri Apr 22 19:23:49 +0000 2022,-122.3306025,47.614817,Seattle today https://t.co/XAUPxCW0qy
1517585028519137280,qbikmusik,Fri Apr 22 19:24:00 +0000 2022,-122.334461,47.307568,@gunetert Well it seems to be a polarizing take lol
1517585045065637888,wundertrxp,Fri Apr 22 19:24:04 +0000 2022,-120.58340150000001,44.1454365,Happy Earth Day! So grateful for this planet. Let’s take care of it 🧚‍♀️ https://t.co/xJ1G854bIX
1517585046026153986,publicfrienemy,Fri Apr 22 19:24:04 +0000 2022,-123.123581,49.257639,"Do you say: ""tape cassette"" or ""cassette tape""?"
1517585135666823168,tmj_WA_peds,Fri Apr 22 19:24:26 +0000 2022,-122.4442906,47.2528768,"Looking for a Physician role in #Tacoma, WA? Washington Permanente Medical Group is hiring today, click here to app… https://t.co/M9EUEbrpGO"
1517585138640510977,rickdflores,Fri Apr 22 19:24:27 +0000 2022,-122.31182100000001,48.41812,Shout out to @poorgrammar4 for presenting an absolutely AMAZING session to our students! You are such a bad ass and… https://t.co/pJXeWsD9hY
1517585145230159872,tommyunger,Fri Apr 22 19:24:28 +0000 2022,-122.3306025,47.614817,"@peter_godman Maybe this the the precursor to FSD, FSC"
1517585158345351169,qbikmusik,Fri Apr 22 19:24:31 +0000 2022,-122.334461,47.307568,@Purple_Paste I have retune! I just have to learn how to use it
1517585173902086144,StephKall,Fri Apr 22 19:24:35 +0000 2022,-123.123581,49.257639,Getting anti virals today #covidpositive
1517585185625182208,sonyawh55919237,Fri Apr 22 19:24:38 +0000 2022,-123.42868250000001,48.1128715,A movement of the right is to take over secretary of states positions in  majority of states not acknowledge a dem… https://t.co/mKWEA0PKU1
1517585213169094656,tmj_pdx_pharm,Fri Apr 22 19:24:44 +0000 2022,-122.7639851,45.3840077,"Join the Fresenius Medical Care team! See our latest #Pharmaceutical job openings, including ""Area Technical Operat… https://t.co/dKax1J2ZzH"
1517585213857050624,EthantheFlaneur,Fri Apr 22 19:24:45 +0000 2022,-123.480062,48.426763,I don’t think this German ever wanna come back after Shanghai FEMA camp experience. Side note : they even took his… https://t.co/Ez8Yc3vUYu
1517585225450070016,EugeneCornhole,Fri Apr 22 19:24:47 +0000 2022,-120.58340150000001,44.1454365,Cornhole tonight! https://t.co/w3lE6EkrT8 https://t.co/x9Nx9tQ4Bc
1517585228079853568,bohannibal,Fri Apr 22 19:24:48 +0000 2022,-122.630908,45.536402,@Garnet519 I bet you had your heart set on it too… I’m sorry 😢
1517585246753013766,chorosive,Fri Apr 22 19:24:52 +0000 2022,-123.1001,49.28193,It was double-jointed trouble with the unjoined twins at @sincityfetishnight ! Thank you Restricted Entertainment f… https://t.co/h9AN3XYYQj
1517585269003751424,devilstumor,Fri Apr 22 19:24:58 +0000 2022,-122.3306025,47.614817,@MountVapeHelens omg he posted the link to his OFs a week before saying that lol
1517585298129006593,rainbraintrivia,Fri Apr 22 19:25:05 +0000 2022,-122.630908,45.536402,@EdgeofSports You must be a weirdo! https://t.co/u6sAUeol19
1517585300142182400,tayamillerrrr,Fri Apr 22 19:25:05 +0000 2022,-120.58340150000001,44.1454365,happy earth day!! i get to go back to this beautiful place with my favorite human today. 🌎🌲 https://t.co/1oNDvn9JMS
1517585322497830913,iyzlowmatisse,Fri Apr 22 19:25:10 +0000 2022,-117.31226649999999,47.6539185,"""I'm Pickle Rick"" 🥒"
1517585330509017088,navhazard88,Fri Apr 22 19:25:12 +0000 2022,-122.6557945,47.4939445,We also have to be mining for rare earth metals for the batteries and using tortilla chips for the semiconductor ch… https://t.co/RoEHYXjLtS
1517585345876877314,KingCrownShots,Fri Apr 22 19:25:16 +0000 2022,-120.882482,47.273022,Just thought of amazing videos ideas Let’s go I’ll drop the video on YouTube when I can:)
1517585385915781120,camcavers,Fri Apr 22 19:25:26 +0000 2022,-123.123581,49.257639,@Nevin_Thompson @Burgundavia @BillTieleman Obviously developers are paying you to create memes Nevin
1517585407130554368,ibaronknudsen,Fri Apr 22 19:25:31 +0000 2022,-122.43027699999999,48.753352500000005,Behold: the cat https://t.co/Bo332WBYyW
1517585430698409985,SeattleDomBear,Fri Apr 22 19:25:36 +0000 2022,-122.302508,47.443589,"On our way to see @taymoneyduh, so fucking excited first time to Houston Texas, and we get to meet Tay MuhFuckin Mo… https://t.co/rZDwVEcwlT"
1517585458565644288,qbikmusik,Fri Apr 22 19:25:43 +0000 2022,-122.334461,47.307568,@svddendeath Any chance you'd do a remix contest for a slot on the remix EP?
1517585459349700609,TotalTrafficSEA,Fri Apr 22 19:25:43 +0000 2022,-122.28,47.50588,"Security incident in #Seattle on I-5 SB between Boeing Access Rd/Exit 158 and WA-18/Exit 142, stopped traffic back… https://t.co/S6LepbKZFT"
1517585462248067073,TotalTrafficSEA,Fri Apr 22 19:25:44 +0000 2022,-122.25,47.46234,"Closed in #Southcenter on I-405 SB between WA-181/Valley Hwy/Exit 1 and I-5/Southcenter Blvd, stopped traffic back… https://t.co/vbWJSYtCiR"
1517585484427505664,NWJS_jobs,Fri Apr 22 19:25:49 +0000 2022,-122.677583,45.241313,"Interested in a Maintenance Assistant Iii job in Canby , OR? https://t.co/n6xJV3FHjY This could be a great fit."
1517585486851805185,NWJS_jobs,Fri Apr 22 19:25:50 +0000 2022,-122.614273,45.437695,"Check out the latest opening https://t.co/Lzo3aA4lRc at Pamplin Communications in Portland , OR. Marketingjobs"
1517585489175404544,NWJS_jobs,Fri Apr 22 19:25:50 +0000 2022,-122.28486,47.80278,"We're hiring! See our latest job opening: Lynnwood Regional Job Fair https://t.co/BXO7EK5uMV Lynnwood, WA"
1517585495173177344,adrian_morales3,Fri Apr 22 19:25:52 +0000 2022,-122.630908,45.536402,Atlanta is a Top Five show of all time.
1517585495550676992,Gordon_Ruckman,Fri Apr 22 19:25:52 +0000 2022,-122.81848600000001,49.111519,@globalnews I hate electricity van and car and truck because of spam and hacker
1517585515754573824,sonyawh55919237,Fri Apr 22 19:25:56 +0000 2022,-123.42868250000001,48.1128715,@pmmich No we will not keep her off the ballot. She is in a deep red district that has been braindead so she will k… https://t.co/tkHI32Eo4s
1517585546679181312,Blizzziie,Fri Apr 22 19:26:04 +0000 2022,-122.93553,45.530778999999995,Currently in bathroom I told Cade he could have a sip of my mimosa and I just know it’s going to be gone when I get out
1517585561824817152,JcDinkens,Fri Apr 22 19:26:07 +0000 2022,-122.3306025,47.614817,Corporal Jason Dunham11/10/1981 - 4/22/2004 https://t.co/u7yguOPhmN
1517585605714194437,Zachary_Cohen,Fri Apr 22 19:26:18 +0000 2022,-120.882482,47.273022,Truly a loss for the nation and the First In The Nation. RIP.
1517585662840508416,Stuckmonster64,Fri Apr 22 19:26:32 +0000 2022,-122.64127250000001,48.3421785,@navychick1993 @Orion96603782 He’s def a jarhead!
1517585739671695360,devilstumor,Fri Apr 22 19:26:50 +0000 2022,-122.3306025,47.614817,*looks at the time stamps* lmfao
1517585759439450113,tmj_IDP_NURSING,Fri Apr 22 19:26:55 +0000 2022,-117.4260466,47.6587802,"Click the link in our bio to see currently open RN, Dialysis Nurse, Acute Nurse, RN Roles jobs like ""Acute Dialysis… https://t.co/woc9f74Oy3"
1517585762157580290,ResRealtyNW,Fri Apr 22 19:26:55 +0000 2022,-122.884,45.4852,We are looking for a buyer on 4765 SW 200TH AVE #Beaverton #OR  #realestate https://t.co/Y5tS2fohPN https://t.co/1PC9mkbtFs
1517585779861516289,pnwguy1251,Fri Apr 22 19:26:59 +0000 2022,-122.20543749999999,47.306631,"@kaitlancollins @MeidasTouch Please tell me Kaitlan is in Auburn, WA"
1517585784798269440,BridgeTwnSmith,Fri Apr 22 19:27:01 +0000 2022,-122.630908,45.536402,@sherrod_im Yeah I was at 5 1/2 months from my last booster and honestly I was going to wait till the fall but your… https://t.co/Ykz85fsQu8
1517585790171115520,thisisnaushin,Fri Apr 22 19:27:02 +0000 2022,-123.123581,49.257639,@AskAmex Yes I do!Please feel free to DM me.
1517585791765008384,MjcmmJ,Fri Apr 22 19:27:02 +0000 2022,-122.75042,45.41572,Just posted a photo @ Luxury Sport Auto https://t.co/6JK6yyFXAw
1517585792448745473,GilliesKris1,Fri Apr 22 19:27:02 +0000 2022,-120.58340150000001,44.1454365,@itsmedevclev @rachallison1 Thank you for standing up for me and others.
1517585804125564928,ZekeGary2,Fri Apr 22 19:27:05 +0000 2022,-120.882482,47.273022,@larrupin35 @Chriskl70208387 @ToscaAusten @RepMTG Liar! Nothing more needed to be said! Except bye bye Bot!!
1517585804188553218,Scott78173352,Fri Apr 22 19:27:05 +0000 2022,-119.48886949999999,46.2676045,@cheeky_brit If only dogs could talk. 😁
1517585807367827456,ItDntStop,Fri Apr 22 19:27:06 +0000 2022,-120.58340150000001,44.1454365,Still need that hoodie
1517585808915517441,sonyawh55919237,Fri Apr 22 19:27:06 +0000 2022,-123.42868250000001,48.1128715,@SOCALRE4U How awful for that judge
1517585810379264000,barry_semple,Fri Apr 22 19:27:07 +0000 2022,-120.58340150000001,44.1454365,"It’s not even close. I appreciate the plaintiff’s arguments, but- from, what I can see- MTG will use this to fund r… https://t.co/a09Jv1tRti"
1517585830658945026,PacificaBC,Fri Apr 22 19:27:12 +0000 2022,-123.395,48.6006,Check out our newest listing in #CentralSaanich! Tell us what you think!  #realestate https://t.co/SSSXOuVNS6 https://t.co/JnjH8GsPf9
1517585831917240322,antortellini,Fri Apr 22 19:27:12 +0000 2022,-123.1204,49.2819,Finally the snow tires are taken off the Jetta.  #dailydriver #jettatdi #2013vwjetta #highlinejettatdi #mk6jettatdi… https://t.co/0gQdOrd0JL
1517585832839852032,shannonmchargue,Fri Apr 22 19:27:12 +0000 2022,-120.882482,47.273022,WSDOT is built different. I love their Twitter pages
1517585876758327299,iyzlowmatisse,Fri Apr 22 19:27:23 +0000 2022,-117.31226649999999,47.6539185,"@MicCapesRaps Same. Seen a lot of people saying they love it cuz Push switched his style up for it...and granted, y… https://t.co/9C77Eu6fB8"
1517585891262287872,chansesyres,Fri Apr 22 19:27:26 +0000 2022,-120.58340150000001,44.1454365,"I was driving and ran over a squirrel. When I knew it was under my vehicle, I drove as constant that I could so the… https://t.co/FeszD7pCU1"
